device_code,name,type,location,status,last_online_time
GW-10001,一号仓库环境网关,GATEWAY,一号仓库,ONLINE,2026-09-08T14:00:00
GW-10002,二号仓库环境网关,GATEWAY,二号仓库,ONLINE,2026-09-08T14:00:00
GW-10003,三号仓库环境网关,GATEWAY,三号仓库,ONLINE,2026-09-08T14:00:00
GW-10004,四号仓库环境网关,GATEWAY,四号仓库,ONLINE,2026-09-08T14:00:00
GW-10086,三号仓库北门网关,GATEWAY,三号仓库-A区,OFFLINE,2026-09-08T11:20:00
SN-20001,一号仓库温湿度传感器,SENSOR,一号仓库,ONLINE,2026-09-08T14:00:00
SN-20002,二号仓库温湿度传感器,SENSOR,二号仓库,ONLINE,2026-09-08T14:00:00
SN-20003,三号仓库温度传感器,SENSOR,三号仓库,ONLINE,2026-09-08T14:00:00
SN-20005,一号仓库烟感传感器,SENSOR,一号仓库,ONLINE,2026-09-08T14:00:00
SN-20008,二号仓库烟感传感器,SENSOR,二号仓库,ONLINE,2026-09-08T14:00:00
SN-20012,三号仓库B区温湿度传感器,SENSOR,三号仓库-B区,FAULT,2026-09-08T09:45:00
SN-20015,三号仓库光照传感器,SENSOR,三号仓库,ONLINE,2026-09-08T14:00:00
SN-20021,一号仓库门磁传感器,SENSOR,一号仓库,ONLINE,2026-09-08T14:00:00
CAM-30001,一号仓库入口摄像头,CAMERA,一号仓库,ONLINE,2026-09-08T14:00:00
CAM-30002,二号仓库入口摄像头,CAMERA,二号仓库,ONLINE,2026-09-08T14:00:00
CAM-30003,三号仓库出口摄像头,CAMERA,三号仓库,ONLINE,2026-09-08T14:00:00
CAM-30007,三号仓库装卸区摄像头,CAMERA,三号仓库-C区,ONLINE,2026-09-08T14:00:00
CTL-40001,一号仓库空调控制器,CONTROLLER,一号仓库,ONLINE,2026-09-08T14:00:00
CTL-40002,二号仓库空调控制器,CONTROLLER,二号仓库,ONLINE,2026-09-08T14:00:00
CTL-40003,三号仓库通风控制器,CONTROLLER,三号仓库,MAINTENANCE,2026-09-08T08:00:00
