alarm_code,device_code,level,content,status,create_time,resolve_time
AL-20260908-001,GW-10086,P1,网关心跳丢失超过15分钟,ACTIVE,2026-09-08T11:35:00,
AL-20260908-002,SN-20012,P1,温湿度传感器数据连续30分钟无上报,ACTIVE,2026-09-08T10:15:00,
AL-20260908-003,GW-10086,P2,北门网关信号强度持续低于-90dBm,ACTIVE,2026-09-08T11:30:00,
AL-20260907-014,SN-20003,P2,三号仓库温度读数超过安全阈值32℃且持续上升,ACTIVE,2026-09-07T16:40:00,
AL-20260907-015,CTL-40003,P2,通风控制器通信超时率超过10%,ACTIVE,2026-09-07T09:20:00,
AL-20260908-004,SN-20001,P3,一号仓库湿度达到95%超过30分钟,ACTIVE,2026-09-08T08:50:00,
AL-20260908-005,CAM-30003,P3,三号仓库出口摄像头画面丢帧率升高,ACTIVE,2026-09-08T07:05:00,
AL-20260908-006,CTL-40001,P4,一号仓库空调控制器固件版本过旧提示,ACTIVE,2026-09-08T06:00:00,
AL-20260905-008,GW-10086,P2,网关与平台连接中断8分钟后恢复,RESOLVED,2026-09-05T14:22:00,2026-09-05T14:30:00
AL-20260831-019,GW-10086,P3,网关CPU使用率连续1小时超过85%,RESOLVED,2026-08-31T10:10:00,2026-08-31T12:40:00
AL-20260825-007,GW-10086,P4,网关固件升级完成提醒,RESOLVED,2026-08-25T22:00:00,2026-08-25T22:05:00
AL-20260906-012,SN-20012,P2,传感器电池电压低于2.9V,RESOLVED,2026-09-06T10:00:00,2026-09-06T11:30:00
AL-20260905-007,CAM-30007,P2,装卸区摄像头夜间红外模式失效,RESOLVED,2026-09-05T21:10:00,2026-09-06T08:00:00
AL-20260904-009,GW-10001,P2,一号仓库网关丢包率达到5%,RESOLVED,2026-09-04T08:40:00,2026-09-04T10:05:00
AL-20260902-011,CTL-40001,P2,一号仓库空调控制器离线6分钟,RESOLVED,2026-09-02T13:20:00,2026-09-02T13:26:00
AL-20260828-003,SN-20005,P1,一号仓库烟感自检失败,RESOLVED,2026-08-28T09:00:00,2026-08-28T09:50:00
AL-20260906-011,SN-20002,P3,二号仓库温度日波动超过10℃,RESOLVED,2026-09-06T15:00:00,2026-09-06T18:20:00
AL-20260907-009,SN-20008,P3,二号仓库烟感灵敏度自检偏差,RESOLVED,2026-09-07T10:30:00,2026-09-07T14:00:00
AL-20260903-016,SN-20021,P3,一号仓库后门门磁异常开启3次,RESOLVED,2026-09-03T19:45:00,2026-09-03T20:10:00
AL-20260901-010,SN-20015,P3,三号仓库光照传感器读数漂移,RESOLVED,2026-09-01T09:20:00,2026-09-01T15:30:00
AL-20260902-013,CTL-40002,P4,二号仓库空调控制器通讯延迟升高,RESOLVED,2026-09-02T16:30:00,2026-09-02T17:15:00
AL-20260904-013,CAM-30002,P4,摄像头镜头遮挡检测提醒,RESOLVED,2026-09-04T11:30:00,2026-09-04T13:00:00
AL-20260901-004,CAM-30001,P4,摄像头存储卡剩余空间不足20%,RESOLVED,2026-09-01T07:15:00,2026-09-01T08:00:00
AL-20260830-006,GW-10002,P3,二号仓库网关DHCP租约即将到期提醒,RESOLVED,2026-08-30T16:00:00,2026-08-30T17:30:00
AL-20260829-005,SN-20003,P4,三号仓库温度传感器校准到期提醒,RESOLVED,2026-08-29T09:00:00,2026-08-29T09:20:00
