order_code,device_code,title,description,status,priority,creator,create_time,update_time
WO-20260908-0001,GW-10086,排查北门网关离线,网关GW-10086自11:20起心跳丢失，需现场检查供电与网络链路,OPEN,P1,张工,2026-09-08T11:40:00,2026-09-08T11:40:00
WO-20260908-0002,SN-20012,更换三号仓库B区温湿度传感器,传感器SN-20012数据中断30分钟，疑似硬件故障，准备备件更换,OPEN,P1,李工,2026-09-08T10:30:00,2026-09-08T10:30:00
WO-20260908-0003,SN-20001,检查一号仓库湿度异常,湿度达到95%超过30分钟，检查除湿设备与传感器精度,OPEN,P3,赵工,2026-09-08T09:30:00,2026-09-08T09:30:00
WO-20260907-0004,SN-20003,处理三号仓库高温预警,温度持续超过32℃且上升，检查通风与空调联动,IN_PROGRESS,P2,王工,2026-09-07T17:00:00,2026-09-08T09:00:00
WO-20260907-0005,CTL-40003,检修三号仓库通风控制器,通信超时率超过10%，安排停机检修窗口,IN_PROGRESS,P2,王工,2026-09-07T10:00:00,2026-09-07T15:00:00
WO-20260906-0006,SN-20012,更换三号仓库B区传感器电池,电池电压低于2.9V告警，更换锂电池,COMPLETED,P2,李工,2026-09-06T10:30:00,2026-09-06T11:30:00
WO-20260905-0007,CAM-30007,修复装卸区摄像头红外模式,夜间红外模式失效，更换红外补光灯板,COMPLETED,P2,陈工,2026-09-05T21:30:00,2026-09-06T08:00:00
WO-20260904-0008,GW-10001,排查一号仓库网关丢包,丢包率达到5%，更换交换机端口,COMPLETED,P2,张工,2026-09-04T09:00:00,2026-09-04T10:10:00
WO-20260903-0009,SN-20021,核查一号仓库后门门磁异常,后门门磁异常开启3次，核查出入记录,CLOSED,P3,赵工,2026-09-03T20:00:00,2026-09-04T10:00:00
WO-20260901-0010,CAM-30001,清理一号仓库摄像头存储,存储空间不足20%，清理并扩容存储卡,CLOSED,P4,陈工,2026-09-01T08:00:00,2026-09-01T08:30:00
